Offering,aware Conservative,aware Growth,aware Balanced Growth
2014-01,-0.9901493,-0.6579486,-0.2728647
2014-02,2.5177156,2.0532613,1.5335301
2014-03,-1.4789588,-1.0728685,-0.6212493
2014-04,1.3023898,1.1464049,0.9395678
2014-05,1.5727758,1.3485806,1.1634289
2014-06,-0.2562674,-0.0833592,0.1676977
2014-07,1.3473418,1.1267437,0.8605386
2014-08,1.3110016,1.0916592,0.8968307
2014-09,-0.3977858,-0.3328036,-0.2509579
2014-10,-0.2309644,-0.0132306,0.2160079
2014-11,2.9059889,2.2582263,1.6215827
2014-12,1.348077,1.2047653,1.0621398
2015-01,0.8295145,0.8078665,0.8194702
2015-02,4.7697283,3.7789236,2.6098783
2015-03,0.4850179,0.4400535,0.416923
2015-04,1.495322,1.1756072,0.7945242
2015-05,0.2302656,0.0561875,-0.1653955
2015-06,-2.7520807,-2.0461101,-1.3639803
2015-07,2.5414116,2.0165367,1.4904371
2015-08,-3.6883678,-2.7718703,-1.5956826
2015-09,-1.7169525,-1.3260909,-0.7950906
2015-10,4.3587679,3.3392967,2.3556924
2015-11,-0.2302373,-0.1849121,-0.1623242
2015-12,-0.4191773,-0.3012935,-0.0977404
2016-01,-4.3737686,-3.2958081,-1.9178284
2016-02,-0.5029244,-0.2661225,0.099544
2016-03,2.017513,1.6642367,1.1030016
2016-04,2.3983601,1.9154996,1.3548606
2016-05,2.6835049,2.3095706,1.9110672
2016-06,-1.83732,-1.2923662,-0.648854
2016-07,3.7436982,3.2127269,2.3821838
2016-08,0.2252561,0.2477682,0.3497786
2016-09,0.1238708,0.1103806,0.0512
2016-10,-1.0331919,-0.8622601,-0.5865484
2016-11,2.0582792,1.4827175,0.8523856
2016-12,2.3498544,1.8848125,1.3519582
2017-01,0.0953,0.2286569,0.2653647
2017-02,1.4191877,1.2065201,0.9124064
2017-03,2.0760605,1.7858353,1.3268151
2017-04,2.0065803,1.7489616,1.3170841
2017-05,0.7314399,0.7642143,0.8446784
2017-06,0.0982,0.00227,0.0523
2017-07,0.1869476,0.2189958,0.2499911
2017-08,0.9691771,0.8637216,0.6971178
2017-09,1.18038,0.913849,0.628237
2017-10,2.924145,2.4595623,1.9440382
2017-11,1.7035202,1.4232321,1.202463
2017-12,0.439402,0.3472163,0.2299658
2018-01,1.6115136,1.2512778,0.9805123
2018-02,-0.2701752,-0.2202685,-0.0415
2018-03,-1.1075945,-0.827855,-0.4561215
2018-04,2.1443369,1.6794033,1.2593789
2018-05,0.8159203,0.7282884,0.5729551
2018-06,1.1439623,0.9090728,0.7164121
2018-07,1.5162629,1.2762831,1.0035412
2018-08,1.8736354,1.5792594,1.215763
2018-09,-0.4152842,-0.4075238,-0.2937428
2018-10,-4.0151303,-3.0536696,-2.067307
2018-11,-0.4381609,-0.3295807,-0.150664
2018-12,-1.8856017,-1.3437283,-0.8159055
2019-01,3.3073722,2.6810573,2.0842335
2019-02,3.0443426,2.5222359,1.9495086
2019-03,1.0073746,1.02371,1.0003475
2019-04,2.3273868,1.8767576,1.4361544
2019-05,-1.1301424,-0.6359807,-0.221564
2019-06,2.9219091,2.3294486,1.8186798
2019-07,1.7803505,1.6204746,1.3268475
2019-08,-0.8400843,-0.561243,-0.2932292
2019-09,1.1896849,0.9560346,0.6585871
2019-10,1.0638335,0.7755051,0.4704601
2019-11,2.9051793,2.4934419,1.9649471
2019-12,0.0672532,-0.0705648,-0.2189457
2020-01,2.1992869,1.980703,1.782087
2020-02,-3.9522213,-2.9689844,-2.0706743
2020-03,-9.6352647,-7.9097872,-6.089441
2020-04,3.6351821,2.447104,1.3223715
2020-05,2.4522959,1.9609935,1.5142524
2020-06,1.5564373,1.3708571,1.1967834
2020-07,1.1081901,0.9077313,0.7274098
2020-08,2.5221899,1.9162834,0.97884
2020-09,-0.6783728,-0.3156553,-0.2088139
2020-10,0.6133314,0.5326022,0.2463684
2020-11,5.6249288,4.3161927,2.7441259
2020-12,1.8477271,1.5052802,1.0318262
2021-01,0.6820389,0.498600911,0.198048253
2021-02,0.769501918,0.300083601,0.094989463
2021-03,2.337060228,1.952856465,1.596351896
2021-04,,,
2021-05,,,
2021-06,,,