Offering,hesta Conservative,hesta Balanced Growth,hesta High Growth,,,,,,,,,,,,
1993-01,,,,,,,,,,,,,,,
1993-02,,,,,,,,,,,,,,,
1993-03,,,,,,,,,,,,,,,
1993-04,,,,,,,,,,,,,,,
1993-05,,,,,,,,,,,,,,,
1993-06,,,,,,,,,,,,,,,
1993-07,,,,,,,,,,,,,,,
1993-08,,,,,,,,,,,,,,,
1993-09,,,,,,,,,,,,,,,
1993-10,,,,,,,,,,,,,,,
1993-11,,,,,,,,,,,,,,,
1993-12,,,,,,,,,,,,,,,
1994-01,,,,,,,,,,,,,,,
1994-02,,,,,,,,,,,,,,,
1994-03,,,,,,,,,,,,,,,
1994-04,,,,,,,,,,,,,,,
1994-05,,,,,,,,,,,,,,,
1994-06,,,,,,,,,,,,,,,
1994-07,,,,,,,,,,,,,,,
1994-08,,,,,,,,,,,,,,,
1994-09,,,,,,,,,,,,,,,
1994-10,,,,,,,,,,,,,,,
1994-11,,,,,,,,,,,,,,,
1994-12,,,,,,,,,,,,,,,
1995-01,,,,,,,,,,,,,,,
1995-02,,,,,,,,,,,,,,,
1995-03,,,,,,,,,,,,,,,
1995-04,,,,,,,,,,,,,,,
1995-05,,,,,,,,,,,,,,,
1995-06,,,,,,,,,,,,,,,
1995-07,,,,,,,,,,,,,,,
1995-08,,,,,,,,,,,,,,,
1995-09,,,,,,,,,,,,,,,
1995-10,,,,,,,,,,,,,,,
1995-11,,,,,,,,,,,,,,,
1995-12,,,,,,,,,,,,,,,
1996-01,,,,,,,,,,,,,,,
1996-02,,,,,,,,,,,,,,,
1996-03,,,,,,,,,,,,,,,
1996-04,,,,,,,,,,,,,,,
1996-05,,,,,,,,,,,,,,,
1996-06,,,,,,,,,,,,,,,
1996-07,,,,,,,,,,,,,,,
1996-08,,,,,,,,,,,,,,,
1996-09,,,,,,,,,,,,,,,
1996-10,,,,,,,,,,,,,,,
1996-11,,,,,,,,,,,,,,,
1996-12,,,,,,,,,,,,,,,
1997-01,,,,,,,,,,,,,,,
1997-02,,,,,,,,,,,,,,,
1997-03,,,,,,,,,,,,,,,
1997-04,,,,,,,,,,,,,,,
1997-05,,,,,,,,,,,,,,,
1997-06,,,,,,,,,,,,,,,
1997-07,,,,,,,,,,,,,,,
1997-08,,,,,,,,,,,,,,,
1997-09,,,,,,,,,,,,,,,
1997-10,,,,,,,,,,,,,,,
1997-11,,,,,,,,,,,,,,,
1997-12,,,,,,,,,,,,,,,
1998-01,,,,,,,,,,,,,,,
1998-02,,,,,,,,,,,,,,,
1998-03,,,,,,,,,,,,,,,
1998-04,,,,,,,,,,,,,,,
1998-05,,,,,,,,,,,,,,,
1998-06,,,,,,,,,,,,,,,
1998-07,,,,,,,,,,,,,,,
1998-08,,,,,,,,,,,,,,,
1998-09,,,,,,,,,,,,,,,
1998-10,,,,,,,,,,,,,,,
1998-11,,,,,,,,,,,,,,,
1998-12,,,,,,,,,,,,,,,
1999-01,,,,,,,,,,,,,,,
1999-02,,,,,,,,,,,,,,,
1999-03,,,,,,,,,,,,,,,
1999-04,,,,,,,,,,,,,,,
1999-05,,,,,,,,,,,,,,,
1999-06,,,,,,,,,,,,,,,
1999-07,,,,,,,,,,,,,,,
1999-08,,,,,,,,,,,,,,,
1999-09,,,,,,,,,,,,,,,
1999-10,,,,,,,,,,,,,,,
1999-11,,,,,,,,,,,,,,,
1999-12,,,,,,,,,,,,,,,
2000-01,,,,,,,,,,,,,,,
2000-02,,,,,,,,,,,,,,,
2000-03,,,,,,,,,,,,,,,
2000-04,,,,,,,,,,,,,,,
2000-05,,,,,,,,,,,,,,,
2000-06,,,,,,,,,,,,,,,
2000-07,,,,,,,,,,,,,,,
2000-08,,,,,,,,,,,,,,,
2000-09,,,,,,,,,,,,,,,
2000-10,,,,,,,,,,,,,,,
2000-11,,,,,,,,,,,,,,,
2000-12,,,,,,,,,,,,,,,
2001-01,,,,,,,,,,,,,,,
2001-02,,,,,,,,,,,,,,,
2001-03,,,,,,,,,,,,,,,
2001-04,,,,,,,,,,,,,,,
2001-05,,,,,,,,,,,,,,,
2001-06,,,,,,,,,,,,,,,
2001-07,,,,,,,,,,,,,,,
2001-08,,,,,,,,,,,,,,,
2001-09,,,,,,,,,,,,,,,
2001-10,,,,,,,,,,,,,,,
2001-11,,,,,,,,,,,,,,,
2001-12,,,,,,,,,,,,,,,
2002-01,,,,,,,,,,,,,,,
2002-02,,,,,,,,,,,,,,,
2002-03,,,,,,,,,,,,,,,
2002-04,,,,,,,,,,,,,,,
2002-05,,,,,,,,,,,,,,,
2002-06,,,,,,,,,,,,,,,
2002-07,,,,,,,,,,,,,,,
2002-08,,,,,,,,,,,,,,,
2002-09,,,,,,,,,,,,,,,
2002-10,,,,,,,,,,,,,,,
2002-11,,,,,,,,,,,,,,,
2002-12,,,,,,,,,,,,,,,
2003-01,,,,,,,,,,,,,,,
2003-02,,,,,,,,,,,,,,,
2003-03,,,,,,,,,,,,,,,
2003-04,,,,,,,,,,,,,,,
2003-05,,,,,,,,,,,,,,,
2003-06,,,,,,,,,,,,,,,
2003-07,,,,,,,,,,,,,,,
2003-08,,,,,,,,,,,,,,,
2003-09,,,,,,,,,,,,,,,
2003-10,,,,,,,,,,,,,,,
2003-11,,,,,,,,,,,,,,,
2003-12,,,,,,,,,,,,,,,
2004-01,,,,,,,,,,,,,,,
2004-02,,,,,,,,,,,,,,,
2004-03,,,,,,,,,,,,,,,
2004-04,,,,,,,,,,,,,,,
2004-05,,,,,,,,,,,,,,,
2004-06,,,,,,,,,,,,,,,
2004-07,,,,,,,,,,,,,,,
2004-08,,,,,,,,,,,,,,,
2004-09,,,,,,,,,,,,,,,
2004-10,,,,,,,,,,,,,,,
2004-11,,,,,,,,,,,,,,,
2004-12,,,,,,,,,,,,,,,
2005-01,,,,,,,,,,,,,,,
2005-02,,,,,,,,,,,,,,,
2005-03,,,,,,,,,,,,,,,
2005-04,,,,,,,,,,,,,,,
2005-05,,,,,,,,,,,,,,,
2005-06,,,,,,,,,,,,,,,
2005-07,,,,,,,,,,,,,,,
2005-08,,,,,,,,,,,,,,,
2005-09,,,,,,,,,,,,,,,
2005-10,,,,,,,,,,,,,,,
2005-11,,,,,,,,,,,,,,,
2005-12,,,,,,,,,,,,,,,
2006-01,,,,,,,,,,,,,,,
2006-02,,,,,,,,,,,,,,,
2006-03,,,,,,,,,,,,,,,
2006-04,,,,,,,,,,,,,,,
2006-05,,,,,,,,,,,,,,,
2006-06,,,,,,,,,,,,,,,
2006-07,,,,,,,,,,,,,,,
2006-08,,,,,,,,,,,,,,,
2006-09,,,,,,,,,,,,,,,
2006-10,,,,,,,,,,,,,,,
2006-11,,,,,,,,,,,,,,,
2006-12,,,,,,,,,,,,,,,
2007-01,,,,,,,,,,,,,,,
2007-02,,,,,,,,,,,,,,,
2007-03,,,,,,,,,,,,,,,
2007-04,,,,,,,,,,,,,,,
2007-05,,,,,,,,,,,,,,,
2007-06,,,,,,,,,,,,,,,
2007-07,,,,,,,,,,,,,,,
2007-08,,,,,,,,,,,,,,,
2007-09,,,,,,,,,,,,,,,
2007-10,,,,,,,,,,,,,,,
2007-11,,,,,,,,,,,,,,,
2007-12,,,,,,,,,,,,,,,
2008-01,,,,,,,,,,,,,,,
2008-02,,,,,,,,,,,,,,,
2008-03,,,,,,,,,,,,,,,
2008-04,,,,,,,,,,,,,,,
2008-05,,,,,,,,,,,,,,,
2008-06,,,,,,,,,,,,,,,
2008-07,,,,,,,,,,,,,,,
2008-08,,,,,,,,,,,,,,,
2008-09,,,,,,,,,,,,,,,
2008-10,,,,,,,,,,,,,,,
2008-11,,,,,,,,,,,,,,,
2008-12,,,,,,,,,,,,,,,
2009-01,,,,,,,,,,,,,,,
2009-02,,,,,,,,,,,,,,,
2009-03,,,,,,,,,,,,,,,
2009-04,,,,,,,,,,,,,,,
2009-05,,,,,,,,,,,,,,,
2009-06,,,,,,,,,,,,,,,
2009-07,,,,,,,,,,,,,,,
2009-08,,,,,,,,,,,,,,,
2009-09,,,,,,,,,,,,,,,
2009-10,,,,,,,,,,,,,,,
2009-11,,,,,,,,,,,,,,,
2009-12,,,,,,,,,,,,,,,
2010-01,,,,,,,,,,,,,,,
2010-02,,,,,,,,,,,,,,,
2010-03,,,,,,,,,,,,,,,
2010-04,,,,,,,,,,,,,,,
2010-05,,,,,,,,,,,,,,,
2010-06,,,,,,,,,,,,,,,
2010-07,,,,,,,,,,,,,,,
2010-08,,,,,,,,,,,,,,,
2010-09,,,,,,,,,,,,,,,
2010-10,,,,,,,,,,,,,,,
2010-11,,,,,,,,,,,,,,,
2010-12,,,,,,,,,,,,,,,
2011-01,,,,,,,,,,,,,,,
2011-02,,,,,,,,,,,,,,,
2011-03,,,,,,,,,,,,,,,
2011-04,,,,,,,,,,,,,,,
2011-05,,,,,,,,,,,,,,,
2011-06,,,,,,,,,,,,,,,
2011-07,,,,,,,,,,,,,,,
2011-08,,,,,,,,,,,,,,,
2011-09,,,,,,,,,,,,,,,
2011-10,,,,,,,,,,,,,,,
2011-11,,,,,,,,,,,,,,,
2011-12,,,,,,,,,,,,,,,
2012-01,,,,,,,,,,,,,,,
2012-02,,,,,,,,,,,,,,,
2012-03,,,,,,,,,,,,,,,
2012-04,,,,,,,,,,,,,,,
2012-05,,,,,,,,,,,,,,,
2012-06,,,,,,,,,,,,,,,
2012-07,,,,,,,,,,,,,,,
2012-08,,,,,,,,,,,,,,,
2012-09,,,,,,,,,,,,,,,
2012-10,,,,,,,,,,,,,,,
2012-11,,,,,,,,,,,,,,,
2012-12,,,,,,,,,,,,,,,
2013-01,,,,,,,,,,,,,,,
2013-02,,,,,,,,,,,,,,,
2013-04,,,,,,,,,,,,,,,
2013-05,,,,,,,,,,,,,,,
2013-06,,,,,,,,,,,,,,,
2013-07,,,,,,,,,,,,,,,
2013-08,,,,,,,,,,,,,,,
2013-09,,,,,,,,,,,,,,,
2013-10,,,,,,,,,,,,,,,
2013-11,,,,,,,,,,,,,,,
2013-12,,,,,,,,,,,,,,,
2014-01,,,,,,,,,,,,,,,
2014-02,,,,,,,,,,,,,,,
2014-03,,,,,,,,,,,,,,,
2014-04,,,,,,,,,,,,,,,
2014-05,,,,,,,,,,,,,,,
2014-06,,,,,,,,,,,,,,,
2014-07,0.82,,,,,,,,,,,,,,
2014-08,0.72,,,,,,,,,,,,,,
2014-09,-0.14,,,,,,,,,,,,,,
2014-10,0.72,,,,,,,,,,,,,,
2014-11,0.47,,,,,,,,,,,,,,
2014-12,0.65,,,,,,,,,,,,,,
2015-01,1.13,,,,,,,,,,,,,,
2015-02,1.69,,,,,,,,,,,,,,
2015-03,0.79,,,,,,,,,,,,,,
2015-04,-0.07,,,,,,,,,,,,,,
2015-05,0.6,,,,,,,,,,,,,,
2015-06,-0.63,,,,,,,,,,,,,,
2015-07,1.21,,,,,,,,,,,,,,
2015-08,-1.1,,,,,,,,,,,,,,
2015-09,-0.07,,,,,,,,,,,,,,
2015-10,1.33,,,,,,,,,,,,,,
2015-11,-0.04,,,,,,,,,,,,,,
2015-12,0.4,,,,,,,,,,,,,,
2016-01,-0.61,,,,,,,,,,,,,,
2016-02,-0.15,,,,,,,,,,,,,,
2016-03,1.27,,,,,,,,,,,,,,
2016-04,0.8,,,,,,,,,,,,,,
2016-05,1.41,,,,,,,,,,,,,,
2016-06,-0.09,,,,,,,,,,,,,,
2016-07,1.3,,,,,,,,,,,,,,
2016-08,0.42,,,,,,,,,,,,,,
2016-09,0.41,,,,,,,,,,,,,,
2016-10,-0.35,,,,,,,,,,,,,,
2016-11,0.43,,,,,,,,,,,,,,
2016-12,1.38,,,,,,,,,,,,,,
2017-01,-0.01,,,,,,,,,,,,,,
2017-02,0.63,,,,,,,,,,,,,,
2017-03,1.09,,,,,,,,,,,,,,
2017-04,0.61,,,,,,,,,,,,,,
2017-05,0.34,,,,,,,,,,,,,,
2017-06,0.23,,,,,,,,,,,,,,
2017-07,0.25,,,,,,,,,,,,,,
2017-08,0.46,,,,,,,,,,,,,,
2017-09,0.68,,,,,,,,,,,,,,
2017-10,1.18,,,,,,,,,,,,,,
2017-11,0.71,,,,,,,,,,,,,,
2017-12,0.76,,,,,,,,,,,,,,
2018-01,0.43,,,,,,,,,,,,,,
2018-02,0.16,,,,,,,,,,,,,,
2018-03,0.33,,,,,,,,,,,,,,
2018-04,0.58,,,,,,,,,,,,,,
2018-05,0.35,,,,,,,,,,,,,,
2018-06,0.9,,,,,,,,,,,,,,
2018-07,,,,,,,,,,,,,,,
2018-08,,,,,,,,,,,,,,,
2018-09,,,,,,,,,,,,,,,
2018-10,,,,,,,,,,,,,,,
2018-11,,,,,,,,,,,,,,,
2018-12,,,,,,,,,,,,,,,
2019-01,,,,,,,,,,,,,,,
2019-02,,,,,,,,,,,,,,,
2019-03,,,,,,,,,,,,,,,
2019-04,,,,,,,,,,,,,,,
2019-05,,,,,,,,,,,,,,,
2019-06,,,,,,,,,,,,,,,
2019-07,,,,,,,,,,,,,,,
2019-08,,,,,,,,,,,,,,,
2019-09,,,,,,,,,,,,,,,
2019-10,,,,,,,,,,,,,,,
2019-11,,,,,,,,,,,,,,,
2019-12,,,,,,,,,,,,,,,
2020-01,,,,,,,,,,,,,,,
2020-02,,,,,,,,,,,,,,,
2020-03,,,,,,3.26,2.72,2.2,1.44,4.49,8.22,0.89,0.61,0.09,2.63
2020-04,,,,,,3.21,2.66,2.04,1.44,3.3,4.29,1.43,0.6,0.03,2.16
2020-05,,,,,,0.29,0.35,0.62,0.43,-0.01,1.39,0.18,0.54,0.02,1.51
2020-06,,,,,,1,0.69,0.67,0.38,1.99,0.42,-0.29,0.83,0.03,0.53
2020-07,0.79,1.05,1.06,,,1.97,1.47,0.54,0.49,2.61,3.26,0.8,-0.18,0.03,0.77
2020-08,0.65,1.57,2.33,,,-0.31,-0.15,0.02,0.04,-0.35,-2.62,0.25,0.39,0.01,-0.23
2020-09,-0.17,-0.78,-1.13,,,0.6,0.41,0.15,0.15,-1.07,1.55,0.09,0.19,0.01,0.33
2020-10,0.54,0.82,0.96,,,6.11,5.03,3.12,2.45,8.31,9.93,1.2,0.27,0.03,3.31
2020-11,2.19,4.95,6.77,,,1.68,1.39,1.08,0.97,1.64,1.47,3.24,0.23,0.18,1.26
2020-12,0.59,1.16,1.19,,,0.28,0.18,-0.05,0.06,-0.46,0.32,0.23,-0.22,0.06,0.12
2021-01,0.03,0.46,0.76,,,1.68,1.24,0.14,0.22,2.26,2.14,0.41,-1.52,0.04,0.39
2021-02,-0.42,0.48,1.15,,,2.58,2.3,1.79,1.18,3.7,2.47,0.65,0.1,0.01,1.52
2021-03,0.97,1.93,2.33,,,,,,,,,,,,
2021-04,,,,,,,,,,,,,,,
2021-05,,,,,,,,,,,,,,,
2021-06,,,,,,,,,,,,,,,